Amplitude (LSB) - Signal,Time (us)
00044,1.030273
-0076,1.031250
-0020,1.032227
-0024,1.033203
00036,1.034180
00028,1.035156
-0048,1.036133
-0207,1.037109
-0028,1.038086
00088,1.039062
00092,1.040039
-0016,1.041016
00024,1.041992
-0036,1.042969
00036,1.043945
-0379,1.044922
-0044,1.045898
00068,1.046875
00032,1.047852
-0012,1.048828
00024,1.049805
-0044,1.050781
-0004,1.051758
-0395,1.052734
00004,1.053711
-0028,1.054688
-0076,1.055664
00004,1.056641
-0028,1.057617
-0020,1.058594
-0020,1.059570
00363,1.060547
00004,1.061523
-0044,1.062500
00028,1.063477
00004,1.064453
00028,1.065430
-0052,1.066406
00068,1.067383
00060,1.068359
-0004,1.069336
00020,1.070312
00219,1.071289
00028,1.072266
-0020,1.073242
00008,1.074219
00004,1.075195
-0084,1.076172
00024,1.077148
-0132,1.078125
00148,1.079102
-0048,1.080078
00044,1.081055
-0036,1.082031
00012,1.083008
00211,1.083984
-0024,1.084961
-0036,1.085938
00132,1.086914
00068,1.087891
-0052,1.088867
00020,1.089844
00028,1.090820
00203,1.091797
-0024,1.092773
00060,1.093750
-0032,1.094727
00020,1.095703
-0020,1.096680
-0008,1.097656
-0004,1.098633
00355,1.099609
00012,1.100586
00060,1.101562
00068,1.102539
00020,1.103516
-0020,1.104492
00028,1.105469
00036,1.106445
00044,1.107422
00012,1.108398
00108,1.109375
00004,1.110352
00020,1.111328
-0004,1.112305
00000,1.113281
00004,1.114258
-0096,1.115234
00028,1.116211
00076,1.117188
00020,1.118164
00004,1.119141
-0012,1.120117
00020,1.121094
00020,1.122070
-0387,1.123047
00048,1.124023
-0016,1.125000
-0060,1.125977
-0024,1.126953
-0036,1.127930
-0008,1.128906
00004,1.129883
00048,1.130859
-0036,1.131836
-0104,1.132812
00012,1.133789
00004,1.134766
00044,1.135742
-0020,1.136719
00016,1.137695
00084,1.138672
-0020,1.139648
-0028,1.140625
-0020,1.141602
00004,1.142578
00052,1.143555
-0036,1.144531
-0056,1.145508
-0387,1.146484
00020,1.147461
00052,1.148438
-0004,1.149414
-0012,1.150391
00048,1.151367
-0036,1.152344
